location_id,geometry
353,POINT (9.823780982862015 46.733517769366635)
354,POINT (9.776259239769153 46.73761446387953)
355,POINT (9.728762065885508 46.74168876539466)
356,POINT (9.741804083482254 46.77962553601892)
357,POINT (9.789362440644593 46.77554074299569)
358,POINT (9.802493862019103 46.81349368671252)
359,POINT (9.75487419971878 46.817588999347386)
360,POINT (9.767972499168167 46.855579129777844)
361,POINT (9.815653588785183 46.85147326935225)
362,POINT (9.86335923374369 46.84734484926498)
363,POINT (9.850138084438862 46.80937587010792)
364,POINT (9.897806773975109 46.80523551974635)
365,POINT (9.911089340694247 46.843193839688965)
366,POINT (9.924400542551423 46.881178715754466)
367,POINT (9.87660889600271 46.88534041307514)
368,POINT (9.889887157085994 46.92336253538504)
369,POINT (9.937740465735786 46.919190121712894)
370,POINT (9.916529820866998 46.99948634988733)
371,POINT (9.903194103195574 46.96141118984075)
372,POINT (9.855303455285664 46.965571591037026)
373,POINT (9.86857725912427 47.003657468595314)
374,POINT (9.82064923203107 47.007805803493966)
375,POINT (9.807437347437595 46.96970926466847)
376,POINT (9.794253987634075 46.93163928853951)
377,POINT (9.842058299703117 46.92751224769173)
378,POINT (9.828841706163239 46.88947946503767)
379,POINT (9.781099066730436 46.8935959015089)
380,POINT (9.733381071195737 46.897689752466604)
381,POINT (9.685687812843875 46.901761047998924)
382,POINT (9.698719374592319 46.93982547604127)
383,POINT (9.746474314719359 46.93574368794638)
384,POINT (9.759595873842418 46.97382424079325)
385,POINT (9.772745834130518 47.01193138468153)
386,POINT (9.724867159757743 47.01603424236829)
387,POINT (9.711779128483608 46.977916549581025)
388,POINT (9.663987205136362 46.98198622131236)
389,POINT (9.677013303039134 47.020114406876004)
390,POINT (9.629184357891654 47.024171908637406)
391,POINT (9.616220197366898 46.986033286378266)
392,POINT (9.603284066194796 46.94792133936233)
393,POINT (9.65098926067847 46.94388468306353)
394,POINT (9.638019384752193 46.905809818303865)
395,POINT (9.590375879789955 46.90983609368877)
396,POINT (9.577495553894542 46.87177757525699)
